tissue,level1,level2,level3,level4
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.89,Liver.Hematopoietic_stem_cells.89
Liver,Hepatoblasts,Liver.Hepatoblasts,Hepatoblasts.110,Liver.Hepatoblasts.110
Liver,Vascular_endothelial_cells,Liver.Vascular_endothelial_cells,Vascular_endothelial_cells.110,Liver.Vascular_endothelial_cells.110
Liver,Hepatoblasts,Liver.Hepatoblasts,Hepatoblasts.120,Liver.Hepatoblasts.120
Liver,Erythroblasts,Liver.Erythroblasts,Erythroblasts.110,Liver.Erythroblasts.110
Liver,Stellate_cells,Liver.Stellate_cells,Stellate_cells.120,Liver.Stellate_cells.120
Liver,Vascular_endothelial_cells,Liver.Vascular_endothelial_cells,Vascular_endothelial_cells.120,Liver.Vascular_endothelial_cells.120
Liver,Myeloid_cells,Liver.Myeloid_cells,Myeloid_cells.120,Liver.Myeloid_cells.120
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.110,Liver.Megakaryocytes.110
Liver,Erythroblasts,Liver.Erythroblasts,Erythroblasts.120,Liver.Erythroblasts.120
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.110,Liver.Lymphoid_cells.110
Liver,Mesothelial_cells,Liver.Mesothelial_cells,Mesothelial_cells.110,Liver.Mesothelial_cells.110
Liver,Myeloid_cells,Liver.Myeloid_cells,Myeloid_cells.110,Liver.Myeloid_cells.110
Liver,Stellate_cells,Liver.Stellate_cells,Stellate_cells.110,Liver.Stellate_cells.110
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.120,Liver.Hematopoietic_stem_cells.120
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.120,Liver.Lymphoid_cells.120
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.110,Liver.Hematopoietic_stem_cells.110
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.120,Liver.Megakaryocytes.120
Liver,Mesothelial_cells,Liver.Mesothelial_cells,Mesothelial_cells.120,Liver.Mesothelial_cells.120
Liver,Mesothelial_cells,Liver.Mesothelial_cells,Mesothelial_cells.89,Liver.Mesothelial_cells.89
Liver,Erythroblasts,Liver.Erythroblasts,Erythroblasts.94,Liver.Erythroblasts.94
Liver,Vascular_endothelial_cells,Liver.Vascular_endothelial_cells,Vascular_endothelial_cells.94,Liver.Vascular_endothelial_cells.94
Liver,Hepatoblasts,Liver.Hepatoblasts,Hepatoblasts.94,Liver.Hepatoblasts.94
Liver,Myeloid_cells,Liver.Myeloid_cells,Myeloid_cells.94,Liver.Myeloid_cells.94
Liver,Megakaryocytes,Liver.Megakaryocytes,Megakaryocytes.94,Liver.Megakaryocytes.94
Liver,Lymphoid_cells,Liver.Lymphoid_cells,Lymphoid_cells.94,Liver.Lymphoid_cells.94
Liver,Stellate_cells,Liver.Stellate_cells,Stellate_cells.94,Liver.Stellate_cells.94
Liver,Hematopoietic_stem_cells,Liver.Hematopoietic_stem_cells,Hematopoietic_stem_cells.94,Liver.Hematopoietic_stem_cells.94
Liver,Mesothelial_cells,Liver.Mesothelial_cells,Mesothelial_cells.94,Liver.Mesothelial_cells.94
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.115,Lung.Lymphatic_endothelial_cells.115
Lung,Stromal_cells,Lung.Stromal_cells,Stromal_cells.115,Lung.Stromal_cells.115
Lung,Neuroendocrine_cells,Lung.Neuroendocrine_cells,Neuroendocrine_cells.122,Lung.Neuroendocrine_cells.122
Lung,Lymphatic_endothelial_cells,Lung.Lymphatic_endothelial_cells,Lymphatic_endothelial_cells.122,Lung.Lymphatic_endothelial_cells.122
Lung,Myeloid_cells,Lung.Myeloid_cells,Myeloid_cells.113,Lung.Myeloid_cells.113
